dept_id,as_of_date,balance_typ,txn_amt,base_amt,txn_ccy,base_ccy,source_system_id,product_id,adjustment_rsn_cd,gaap_ind
CARD100000100,10/22/2025,P,6.40928172592507E9,6.40928172592507E9,USD,USD,CB1023,450123,1,1
FINC100000101,10/22/2025,C,4.87322115723831E9,5.84786538868597E9,USD,GBP,DW2045,450456,2,2
RISK100000102,10/22/2025,F,1.60884708930413E9,2.4132706339562E9,USD,EUR,GL9901,550321,3,3
AUCT100000103,10/22/2025,A,9.26693033693403E9,9.26693033693403E9,GBP,GBP,NB4500,660789,1,4
LIMT100000104,10/22/2025,P,7.29671977792514E9,6.56704780013263E9,GBP,EUR,SW7788,770654,2,1
INTG100000105,10/22/2025,C,4.44414818481645E9,4.44414818481645E9,EUR,EUR,TR4455,880321,3,2
OPER100000106,10/22/2025,F,6.1205683240941E9,6.1205683240941E9,USD,USD,MS1200,990432,1,3
BNKG100000107,10/22/2025,A,2.88265285982842E9,3.4591834317941E9,USD,GBP,FX8899,123450,2,4
AUDT100000108,10/22/2025,P,6.48538099589035E9,9.72807149383553E9,USD,EUR,CB1023,654321,3,1
CTRL100000109,10/22/2025,C,3.92735640656544E9,3.92735640656544E9,GBP,GBP,DW2045,450123,1,2
TREZ100000110,10/22/2025,F,4.79536854496759E9,4.31583169047083E9,GBP,EUR,GL9901,450456,2,3
OBSV100000111,10/22/2025,A,5.7553569945969E8,5.7553569945969E8,EUR,EUR,NB4500,550321,3,4
PAYM100000112,10/22/2025,P,3.1864435457851E9,3.1864435457851E9,USD,USD,SW7788,660789,1,1
CASH100000113,10/22/2025,C,1.17706201370069E9,1.41247441644083E9,USD,GBP,TR4455,770654,2,2
SUPR100000114,10/22/2025,F,1.76515206603716E9,2.64772809905574E9,USD,EUR,MS1200,880321,3,3
DERV100000115,10/22/2025,A,9560053.40024,9560053.40024,GBP,GBP,FX8899,990432,1,4
CARD100000116,10/22/2025,P,5.43083257941724E9,4.88774932147552E9,GBP,EUR,CB1023,123450,2,1
FINC100000117,10/22/2025,C,5.03177426808058E9,5.03177426808058E9,EUR,EUR,DW2045,654321,3,2
RISK100000118,10/22/2025,F,2.30420998195823E9,2.30420998195823E9,USD,USD,GL9901,450123,1,3
AUCT100000119,10/22/2025,A,4.0222895197872E8,4.8267474237446E8,USD,GBP,NB4500,450456,2,4
LIMT100000120,10/22/2025,P,5.9185359289292E8,8.8778038933938E8,USD,EUR,SW7788,550321,3,1
INTG100000121,10/22/2025,C,1.58035969536779E9,1.58035969536779E9,GBP,GBP,TR4455,660789,1,2
OPER100000122,10/22/2025,F,6.72976001200126E9,6.05678401080113E9,GBP,EUR,MS1200,770654,2,3
BNKG100000123,10/22/2025,A,5.43299087797499E9,5.43299087797499E9,EUR,EUR,FX8899,880321,3,4
AUDT100000124,10/22/2025,P,7.3448174817257E9,7.3448174817257E9,USD,USD,CB1023,990432,1,1
CTRL100000125,10/22/2025,C,2.59181868663334E9,3.11018242396001E9,USD,GBP,DW2045,123450,2,2
TREZ100000126,10/22/2025,F,4.11126002110372E9,6.16689003165558E9,USD,EUR,GL9901,654321,3,3
OBSV100000127,10/22/2025,A,9.01775982567687E9,9.01775982567687E9,GBP,GBP,NB4500,450123,1,4
PAYM100000128,10/22/2025,P,3.0955833923075E8,2.7860250530768E8,GBP,EUR,SW7788,450456,2,1
CASH100000129,10/22/2025,C,4.689314111937E7,4.689314111937E7,EUR,EUR,TR4455,550321,3,2
